Year,Region,group_label_62,group_1,group_2,group_12,group_label_22,group_label_23,group_13,group_14,group_label_88,Value
2016,,,,,,,,,group_label_85,,
2017,,,,,,,,,group_label_85,,
2018,,,,,,,,,group_label_85,,
2019,,,,,,,,,group_label_85,,
2020,,,,,,,,,group_label_85,,
2021,,,,,,,,,group_label_85,,
2022,,,,,,,,,group_label_85,,5
2023,,,,,,,,,group_label_85,,13
2024,,,,,,,,,group_label_85,,16
2015,,,,,,,,,group_label_86,,
2016,,,,,,,,,group_label_86,,
2017,,,,,,,,,group_label_86,,
2018,,,,,,,,,group_label_86,,
2019,,,,,,,,,group_label_86,,
2020,,,,,,,,,group_label_86,,
2021,,,,,,,,,group_label_86,,
2022,,,,,,,,,group_label_86,,208
2023,,,,,,,,,group_label_86,,487
2024,,,,,,,,,group_label_86,,454
2015,,,,,,,,,group_label_87,,
2016,,,,,,,,,group_label_87,,
2017,,,,,,,,,group_label_87,,
2018,,,,,,,,,group_label_87,,
2019,,,,,,,,,group_label_87,,
2020,,,,,,,,,group_label_87,,
2021,,,,,,,,,group_label_87,,
2022,,,,,,,,,group_label_87,,5379
2023,,,,,,,,,group_label_87,,3209
2024,,,,,,,,,group_label_87,,2408
2015,,,,,,,,,,group_label_88,41309
2016,,,,,,,,,,group_label_88,275039
2017,,,,,,,,,,group_label_88,567340
2018,,,,,,,,,,group_label_88,623842
2019,,,,,,,,,,group_label_88,623977
2020,,,,,,,,,,group_label_88,568931
2021,,,,,,,,,,group_label_88,713202
2022,,,,,,,,,,group_label_88,556548
2023,,,,,,,,,,group_label_88,563654
2024,,,,,,,,,,group_label_88,524070
